户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,92.71,南北,低,精装修,2009,无 ,商品房,,,板楼,城关,1,118.0,12728.0
2室2厅1卫,93.5,东南,中,精装修,2012,有 ,商品房,普通住宅,,板楼,安宁,0,155.0,16578.0
2室1厅1卫,76.99,东西,低,简装修,2005,有 ,商品房,普通住宅,,板楼,安宁,0,86.0,11170.0
4室2厅2卫,148.0,南北,中,,,有 ,,,,,七里河,0,162.0,10946.0
3室2厅2卫,111.0,南北,中,,,有 ,,,,,榆中,0,66.0,5946.0
2室1厅1卫,105.0,南,低,,1999,无 ,个人产权,普通住宅,,,城关,0,115.0,10952.0
2室2厅1卫,98.35,南北,高,精装修,2012,有 ,商品房,,,板楼,七里河,1,102.0,10371.0
3室2厅1卫,100.0,南北,中,精装修,2017,有 ,个人产权,普通住宅,平层,钢混,城关,0,112.0,11200.0
3室2厅1卫,85.0,南,中,精装修,2015,有 ,商品房,普通住宅,平层,,城关,1,88.0,10353.0
1室1厅1卫,55.0,东,中,毛坯,2017,有 ,个人产权,普通住宅,平层,板楼,七里河,0,40.0,7273.0
2室2厅2卫,94.0,南北,中,中装修,2003,无 ,个人产权,普通住宅,平层,钢混,城关,0,99.0,10532.0
2室2厅1卫,100.0,南北,中,,,有 ,,,,,城关,0,106.0,10600.0
3室2厅2卫,127.0,南北,中,精装修,2011,有 ,个人产权,普通住宅,平层,板楼,七里河,1,177.8,14000.0
2室2厅1卫,99.46,东北,中,中装修,2005,无 ,个人产权,普通住宅,平层,钢混,城关,1,172.0,17293.0
1室1厅1卫,42.0,东西,低,简装修,,无 ,个人产权,普通住宅,平层,塔楼,城关,1,41.8,9952.0
2室2厅1卫,109.0,东北,中,精装修,2008,有 ,个人产权,普通住宅,平层,塔楼,城关,1,140.0,12844.0
2室1厅1卫,65.04,东西,高,精装修,2000,无 ,商品房,普通住宅,平层,,城关,1,169.0,25984.0
2室2厅1卫,90.0,南,中,精装修,2008,无 ,商品房(免税),普通住宅,平层,板楼,城关,1,146.0,16222.0
1室1厅1卫,31.0,南,高,精装修,1998,无 ,个人产权,普通住宅,平层,板楼,安宁,0,45.0,14516.0
3室2厅2卫,110.7,南北,低,,,无 ,,,,,榆中,0,57.0,5149.0
2室2厅1卫,106.0,西南,高,精装修,2010,有 ,商品房,,,板楼,城关,1,198.0,18679.0
2室2厅1卫,97.0,西,高,精装修,2012,有 ,商品房,普通住宅,,板楼,城关,1,140.0,14433.0
2室2厅1卫,101.0,南北,中,毛坯,2010,无 ,个人产权,普通住宅,平层,钢混,城关,1,128.0,12673.0
3室2厅2卫,131.0,南北,低,,,无 ,,,,,安宁,0,145.0,11069.0
