户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
3室2厅2卫,128.34平米,南北,低层,简装修,2008年,有 ,个人产权,普通住宅,平层,塔楼,城关,1,156, 12155元/平米 
3室1厅1卫,80平米,南北,低层,精装修,2003年,无 ,个人产权,普通住宅,平层,砖混,城关,0,88, 11000元/平米 
1室1厅1卫,60平米,东,低层,毛坯,2000年,有 ,商品房,普通住宅,,板楼,城关,1,93, 15500元/平米 
3室2厅1卫,94.66平米,南,中层,毛坯,,有 ,商品房,普通住宅,平层,,安宁,0,115, 12149元/平米 
2室2厅1卫,109平米,南北,低层,精装修,2003年,无 ,商品房,普通住宅,平层,钢混,城关,1,138, 12661元/平米 
3室1厅1卫,95.00平米,北,高楼层,暂无,,,,,,,城关区,0,97,10211元/平米
2室2厅1卫,71平米,南北,中层,简装修,1998年,无 ,个人产权,普通住宅,开间,板楼,安宁,0,83, 11690元/平米 
3室2厅1卫,126.44平米,西南,中楼层,暂无,,,,,,,安宁,1,149,11784元/平米
2室1厅1卫,91.63平米,南北,中层,精装修,2003年,有 ,商品房,普通住宅,,板楼,七里河,1,109, 11896元/平米 
2室2厅1卫,93.3平米,南北,中层,简装修,2012年,有 ,个人产权,普通住宅,平层,板楼,城关,1,130, 13934元/平米 
2室2厅1卫,111平米,南,高层,毛坯,2016年,有 ,商品房,普通住宅,平层,钢混,城关,1,130, 11712元/平米 
3室2厅2卫,115.73平米,南,中层,简装修,2015年,有 ,商品房,普通住宅,平层,塔板结合,安宁,0,140, 12097元/平米 
4室2厅2卫,136.86平米,南,高层,精装修,2015年,有 ,商品房,普通住宅,平层,塔板结合,安宁,0,157, 11472元/平米 
2室2厅1卫,80平米,南,中层,精装修,2017年,无 ,商品房,普通住宅,平层,板楼,城关,0,80, 10000元/平米 
2室2厅2卫,93.56平米,南北,高层,精装修,2004年,无 ,商品房,,,板楼,城关,1,118, 12612元/平米 
2室1厅1卫,82.37平米,南北,中层,简装修,2004年,有 ,个人产权,普通住宅,平层,板楼,城关,1,105, 12747元/平米 
3室2厅1卫,115平米,南北,低层,简装修,1995年,无 ,商品房,普通住宅,平层,砖混,城关,1,135, 11739元/平米 
3室2厅2卫,118平米,南北,低层,精装修,2010年,有 ,商品房,,,板楼,安宁,0,156, 13220元/平米 
3室2厅1卫,98平米,南北,中层,精装修,2020年,有 ,个人产权,普通住宅,平层,板楼,七里河,0,98, 10000元/平米 
2室2厅1卫,119平米,南北,高层,中装修,2002年,有 ,个人产权,普通住宅,平层,钢混,城关,1,121.5, 10210元/平米 
2室2厅1卫,85平米,南北,中层,毛坯,2013年,有 ,商品房,普通住宅,平层,板楼,七里河,1,110, 12941元/平米 
2室1厅1卫,94平米,南,低层,中装修,2007年,有 ,个人产权,普通住宅,平层,板楼,城关,1,155, 16489元/平米 
2室2厅1卫,89.00平米,南北,低楼层,暂无,,,,,,,七里河,0,85,9551元/平米
2室2厅1卫,112.00平米,南北,高楼层,暂无,,,,,,,榆中,0,62,5536元/平米
2室2厅2卫,85平米,南北,低层,中装修,2000年,无 ,个人产权,普通住宅,平层,钢混,城关,1,125, 14706元/平米 
3室2厅2卫,120.00平米,南北,中楼层,暂无,,,,,,,西固,0,116,9667元/平米
2室2厅1卫,96平米,东西,中层,精装修,2004年,无 ,个人产权,普通住宅,平层,板楼,安宁,0,127.5, 13281元/平米 
3室2厅1卫,143.16平米,南北,中层,精装修,2006年,有 ,个人产权,普通住宅,平层,钢混,城关,0,149.5, 10443元/平米 
2室2厅1卫,70平米,东西,高层,简装修,2000年,有 ,商品房,普通住宅,,板楼,七里河,1,94.9, 13557元/平米 
3室2厅2卫,112.00平米,南北,中楼层,暂无,,,,,,,榆中,0,56,5000元/平米
2室2厅2卫,103平米,东西,高层,精装修,2000年,有 ,个人产权,普通住宅,平层,板楼,城关,1,119, 11553元/平米 
4室2厅2卫,194.38平米,南北,高层,中装修,2006年,有 ,个人产权,普通住宅,平层,板楼,安宁,1,238, 12244元/平米 
3室2厅2卫,124平米,南北,低层,毛坯,2020年,有 ,商品房,普通住宅,平层,钢混,城关,0,122, 9839元/平米 
4室2厅2卫,138.00平米,南北,中楼层,暂无,,,,,,,榆中,0,85,6159元/平米
1室1厅1卫,61.75平米,西,高层,毛坯,2015年,有 ,经济适用房,普通住宅,平层,,七里河,0,45, 7287元/平米 
4室2厅2卫,212平米,南北,中层,毛坯,2012年,有 ,商品房,普通住宅,平层,板楼,城关,1,320, 15094元/平米 
3室2厅1卫,113平米,南北,中层,精装修,2008年,有 ,商品房,普通住宅,,板楼,七里河,1,166, 14690元/平米 
2室2厅1卫,92.71平米,南北,低层,精装修,2009年,无 ,商品房,,,板楼,城关,1,118, 12728元/平米 
